"id","name","tel","email","website","position"
"58","Young Israel Of Manhattan","2127320966","","","1"
"81","","","","","2"
"89","","","","","3"
"104","","","","","4"
"139","","","","","5"
"156","","","","","6"
"167","","","","","7"
"173","","","","","8"
"175","","","","","9"
"179","Hebrew Theological College","8479822500","htc@htc.edu","http://www.htc.edu/","10"
"181","Kehilath Jacob Beth Samuel","7735397779","rabbileibtag@kjbs.org","","11"
"188","","","","","12"
"192","","","","","13"
"193","","","","","14"
"196","","","","","15"
"198","Shevet Achim (Buckingham Pavilion)","7739734843","office@buckinghampavilion.com","","16"
"208","","","","","17"
"224","","","","","18"
"232","","","","","19"
"235","","","","","20"
"245","Knesset Yisrael","8453540933","http://www.ckynh.org		","mailto:http://www.ckynh.org		","21"
"248","","","","","22"
"249","","","","","23"
"250","","","","","24"
"253","","","","","25"
"266","","","","","26"
"267","","","","","27"
"278","","","","","28"
"285","","","","","29"
"290","","","","","30"
"292","Congregation Beth Yehuda","7189836035","","http://nachas.org/BethYehuda","31"
"295","","","","","32"
"296","","","","","33"
"311","","","","","34"
"313","","","","","35"
"315","","","","","36"
"321","","","","","37"
"323","","","","","38"
"329","","","","","39"
"369","","","","","40"
"381","Chabad Palo Alto","6504249080","zalman@chabadpaloalto.com","http://chabadpaloalto.com/","41"
"382","","","","","42"
"384","","","","","43"
"386","","","","","44"
"388","","","","","45"
"395","","","","","46"
"397","Chabad Of Sacramento","9164551400","chabadsac@aol.com","http://sacjewishlife.org/","47"
"398","","","","","48"
"428","","","","","49"
"432","","","","","50"
"441","Ahavat Achim","2017423046","","","51"
"447","Rabbinical College Of America","9732679404","rabbiherson@rca.edu","http://www.rca.edu/","52"
"469","","","","","53"
"472","","","","","54"
"478","","","","","55"
"481","","","","","56"
"482","","","","","57"
"485","","","","","58"
"488","","","","","59"
"489","","","","","60"
"490","","","","","61"
"491","","","","","62"
"498","Young Israel Of Holliswood","7187768500","","","63"
"499","","","","","64"
"501","","","","","65"
"508","","","","","66"
"515","","","","","67"
"516","","","","","68"
"520","","","","","69"
"523","","","","","70"
"524","","","","","71"
"529","","","","","72"
"534","Agudath Israel Of The Five Towns","5163745364","info@agudah5t.org","http://www.agudah5t.org/","73"
"536","","","","","74"
"538","","","","","75"
"540","","","","","76"
"541","","","","","77"
"545","","","","","78"
"551","","","","","79"
"556","","","","","80"
"564","","","","","81"
"572","Yismach Moshe Delaposh   Ateres Aharon","7184592632","","","82"
"573","Young Israel Of Forest Hills","7182687100","","","83"
"575","","","","","84"
"580","","","","","85"
"585","","","","","86"
"587","","","","","87"
"588","","","","","88"
"590","Machzekei Hadas","7185201465","","","89"
"595","","","","","90"
"596","","","","","91"
"599","","","","","92"
"602","Yeshiva Ohel Simcha","7182610101","newteachers393@yahoo.com","","93"
"605","Young Israel Of Kew Gardens Hills","7182619723","yikgh@verizon.net","","94"
"607","","","","","95"
"609","","","","","96"
"611","","","","","97"
"612","","","","","98"
"613","","","","","99"
"614","","","","","100"
"635","","","","","101"
"639","","","","","102"
"644","","","","","103"
"647","Kiryat Eliyahu","097414086","","","104"
"648","","","","","105"
"652","","","","","106"
"657","","","","","107"
"658","","","","","108"
"659","Heichal Zion","058371338","","","109"
"662","","","","","110"
"665","","","","","111"
"666","","","","","112"
"670","","","","","113"
"675","Leah V'rachel","097749996","","","114"
"680","Netzach Yisrael","097745179","","","115"
"681","","","","","116"
"683","Bnei Akiva Yeshiva","","","","117"
"689","","","","","118"
"694","Young Israel Of Sharon","7817846112","webmaster@yisharon.org","http://www.yisharon.org/","119"
"695","","","","","120"
"697","","","","","121"
"699","","","","","122"
"700","","","","","123"
"701","","","","","124"
